date,capacity,price,product
15.04.2022,10,269,IronWolf
15.04.2022,12,309,IronWolf
15.04.2022,16,,IronWolf
15.04.2022,4,99,Red Plus
15.04.2022,6,161,Red Plus
15.04.2022,8,223,Red Plus
15.04.2022,10,279,Red Plus
15.04.2022,12,309,Red Plus
15.04.2022,14,389,Red Plus
16.04.2022,4,99,IronWolf
16.04.2022,6,166,IronWolf
16.04.2022,8,212,IronWolf
16.04.2022,10,269,IronWolf
16.04.2022,12,309,IronWolf
16.04.2022,16,,IronWolf
16.04.2022,4,99,Red Plus
16.04.2022,6,161,Red Plus
16.04.2022,8,223,Red Plus
16.04.2022,10,279,Red Plus
16.04.2022,12,309,Red Plus
16.04.2022,14,389,Red Plus
17.04.2022,4,99,IronWolf
17.04.2022,6,166,IronWolf
17.04.2022,8,212,IronWolf
17.04.2022,10,269,IronWolf
17.04.2022,12,309,IronWolf
17.04.2022,16,,IronWolf
17.04.2022,4,91.70,Red Plus
17.04.2022,6,161,Red Plus
17.04.2022,8,230,Red Plus
17.04.2022,10,281,Red Plus
17.04.2022,12,309,Red Plus
17.04.2022,14,389,Red Plus
18.04.2022,4,99,IronWolf
18.04.2022,6,166,IronWolf
18.04.2022,8,212,IronWolf
18.04.2022,10,269,IronWolf
18.04.2022,12,309,IronWolf
18.04.2022,16,,IronWolf
18.04.2022,4,91.70,Red Plus
18.04.2022,6,161,Red Plus
18.04.2022,8,230,Red Plus
18.04.2022,10,281,Red Plus
18.04.2022,12,309,Red Plus
18.04.2022,14,389,Red Plus
19.04.2022,4,99,IronWolf
19.04.2022,6,166,IronWolf
19.04.2022,8,212,IronWolf
19.04.2022,10,269,IronWolf
19.04.2022,12,309,IronWolf
19.04.2022,16,,IronWolf
19.04.2022,4,91.70,Red Plus
19.04.2022,6,161,Red Plus
19.04.2022,8,230,Red Plus
19.04.2022,10,281,Red Plus
19.04.2022,12,309,Red Plus
19.04.2022,14,389,Red Plus
20.04.2022,4,99,IronWolf
20.04.2022,6,166,IronWolf
20.04.2022,8,212,IronWolf
20.04.2022,10,269,IronWolf
20.04.2022,12,309,IronWolf
20.04.2022,16,,IronWolf
20.04.2022,4,91.70,Red Plus
20.04.2022,6,161,Red Plus
20.04.2022,8,232,Red Plus
20.04.2022,10,281,Red Plus
20.04.2022,12,309,Red Plus
20.04.2022,14,379,Red Plus
21.04.2022,4,99,IronWolf
21.04.2022,6,166,IronWolf
21.04.2022,8,212,IronWolf
21.04.2022,10,269,IronWolf
21.04.2022,12,309,IronWolf
21.04.2022,16,,IronWolf
21.04.2022,4,91.70,Red Plus
21.04.2022,6,161,Red Plus
21.04.2022,8,232,Red Plus
21.04.2022,10,281,Red Plus
21.04.2022,12,309,Red Plus
21.04.2022,14,379,Red Plus
22.04.2022,4,99,IronWolf
22.04.2022,6,166,IronWolf
22.04.2022,8,212,IronWolf
22.04.2022,10,269,IronWolf
22.04.2022,12,309,IronWolf
22.04.2022,16,,IronWolf
22.04.2022,4,91.70,Red Plus
22.04.2022,6,161,Red Plus
22.04.2022,8,236,Red Plus
22.04.2022,10,283,Red Plus
22.04.2022,12,309,Red Plus
22.04.2022,14,379,Red Plus
23.04.2022,4,99,IronWolf
23.04.2022,6,166,IronWolf
23.04.2022,8,212,IronWolf
23.04.2022,10,276,IronWolf
23.04.2022,12,329,IronWolf
23.04.2022,16,,IronWolf
23.04.2022,4,91.70,Red Plus
23.04.2022,6,161,Red Plus
23.04.2022,8,236,Red Plus
23.04.2022,10,283,Red Plus
23.04.2022,12,309,Red Plus
23.04.2022,14,379,Red Plus
24.04.2022,4,91,IronWolf
24.04.2022,6,166,IronWolf
24.04.2022,8,212,IronWolf
24.04.2022,10,276,IronWolf
